 1 0.372000009      1.387      2.177      0.662
 2 0.231000006      0.242       0.35      0.273
 3 0.194999993      0.206       0.29      0.251
 4 0.219999999      0.211      0.206      0.271
 5       0.25      0.271      0.388      0.326
 6 0.300999999      0.285      0.323       0.36
 7 0.596000016      1.863      3.416      1.065
 8 0.783999979      0.845      1.052       1.07
 9 1.08899999      1.178      1.631      1.299
10 1.49300003      1.566      1.656      2.044
11 4.11600018      3.788      4.206      3.834
12 5.38999987      5.733      5.375      7.234
13 7.13100004      7.323      7.699      7.823
14 10.5010004      10.73      10.67      11.37
